Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Downstream_RMSE,Downstream_R2
PCA (dim=8),1.1297008381361684,1.097119702835671,0.8993364398547019,0.8755600551776754,330.17199162326733,0.1956410409633762
PCA (dim=16),1.138251194916069,1.104040271853794,0.9080003491827892,0.8800927191460648,338.18098129128515,0.15614504570142074
PCA (dim=32),1.1267228800515603,1.089179776017447,0.9009969959847719,0.8700521281551995,341.8222300076013,0.13787537360530733
Simplified Transformer,1.0915436118722226,1.0979472363371476,0.8694617135582287,0.8703701584951065,329.75185433804273,0.19768680006013029
Hybrid Embedding,1.0915436118722226,1.0979472363371476,0.8694617135582287,0.8703701584951065,329.75185433804273,0.19768680006013029
BERT-style,1.110427324008124,1.09362158795057,0.8872944834072236,0.8685254496895544,320.6238973350826,0.24149015462146373
